city,ST,state,county_name,lat,lng,population,density
South Creek,WA,Washington,Pierce,46.9994,-122.3921,2500,125
Roslyn,WA,Washington,Kittitas,47.2507,-121.0989,947,84
Sprague,WA,Washington,Lincoln,47.3048,-117.9713,441,163
Gig Harbor,WA,Washington,Pierce,47.3352,-122.5968,9507,622
Lake Cassidy,WA,Washington,Snohomish,48.0639,-122.092,3591,131
Tenino,WA,Washington,Thurston,46.8537,-122.8607,1830,491
Jamestown,WA,Washington,Clallam,48.1229,-123.0911,289,191
Three Lakes,WA,Washington,Snohomish,47.942,-121.9924,3390,112
Curlew Lake,WA,Washington,Ferry,48.7311,-118.6663,573,50
Chain Lake,WA,Washington,Snohomish,47.9038,-121.9861,4280,156
Pateros,WA,Washington,Okanogan,48.0536,-119.8994,701,536
Rosburg,WA,Washington,Wahkiakum,46.3076,-123.6344,385,6
Parkland,WA,Washington,Pierce,47.1417,-122.4376,37019,1653
Birch Bay,WA,Washington,Whatcom,48.923,-122.7543,8642,208
Ashford,WA,Washington,Pierce,46.7537,-122.0113,162,30
Navy Yard City,WA,Washington,Kitsap,47.5508,-122.6655,3154,1978
Omak,WA,Washington,Okanogan,48.4228,-119.5159,8130,478
Farmington,WA,Washington,Whitman,47.0887,-117.0464,154,164
Buckley,WA,Washington,Pierce,47.1615,-122.02,4819,482
Cathcart,WA,Washington,Snohomish,47.8525,-122.1058,2506,250
Poulsbo,WA,Washington,Kitsap,47.7417,-122.6408,10670,869
Anacortes,WA,Washington,Skagit,48.4878,-122.6292,17955,559
Maplewood,WA,Washington,Pierce,47.3715,-122.5689,5340,248
Creston,WA,Washington,Lincoln,47.7595,-118.52,226,212
Rockford,WA,Washington,Spokane,47.4513,-117.1307,477,271
Wishram,WA,Washington,Klickitat,45.6599,-120.9698,438,131
Centralia,WA,Washington,Lewis,46.7225,-122.9695,41643,883
South Hill,WA,Washington,Pierce,47.1203,-122.2848,56379,1185
Longview Heights,WA,Washington,Cowlitz,46.1796,-122.9577,3678,337
Erlands Point-Kitsap Lake,WA,Washington,Kitsap,47.5973,-122.7021,2973,655
Amboy,WA,Washington,Clark,45.9122,-122.4795,2027,78
St. John,WA,Washington,Whitman,47.0915,-117.5887,561,322
Dallesport,WA,Washington,Klickitat,45.6316,-121.1749,1739,99
Ketron Island,WA,Washington,Pierce,47.1569,-122.6343,0,0
Mesa,WA,Washington,Franklin,46.5737,-119.0013,503,119
Fife,WA,Washington,Pierce,47.2328,-122.3518,10154,684
Moses Lake North,WA,Washington,Grant,47.1949,-119.3186,3787,264
Chewelah,WA,Washington,Stevens,48.2929,-117.7336,2637,341
Grayland,WA,Washington,Grays Harbor,46.8304,-124.0898,756,42
Kittitas,WA,Washington,Kittitas,46.9837,-120.4191,1491,729
Camano,WA,Washington,Island,48.1865,-122.4708,15989,155
Monroe North,WA,Washington,Snohomish,47.883,-121.9882,1704,282
North Bonneville,WA,Washington,Skamania,45.6425,-121.9689,999,154
Klickitat,WA,Washington,Klickitat,45.818,-121.1626,358,147
Loon Lake,WA,Washington,Stevens,48.0685,-117.6298,784,92
Newport,WA,Washington,Pend Oreille,48.1788,-117.0545,2635,624
Mead,WA,Washington,Spokane,47.7795,-117.35,6859,364
Cashmere,WA,Washington,Chelan,47.5175,-120.4671,4864,1061
Aberdeen Gardens,WA,Washington,Grays Harbor,47.0587,-123.7791,283,67
Ocean Shores,WA,Washington,Grays Harbor,46.9685,-124.1521,5553,268
Basin City,WA,Washington,Franklin,46.5891,-119.1567,1281,155
Wilkeson,WA,Washington,Pierce,47.1034,-122.0495,507,420
Meadow Glade,WA,Washington,Clark,45.7524,-122.5614,2895,307
Arlington Heights,WA,Washington,Snohomish,48.2119,-122.063,2826,129
Uniontown,WA,Washington,Whitman,46.5391,-117.0861,343,143
Oakesdale,WA,Washington,Whitman,47.1305,-117.2465,442,164
West Side Highway,WA,Washington,Cowlitz,46.1841,-122.9178,5902,901
Conconully,WA,Washington,Okanogan,48.5571,-119.7513,208,300
Latah,WA,Washington,Spokane,47.2822,-117.1557,187,225
Elma,WA,Washington,Grays Harbor,47.0055,-123.4112,3092,468
Tieton,WA,Washington,Yakima,46.7026,-120.756,1294,570
Southworth,WA,Washington,Kitsap,47.5126,-122.5298,2280,260
Danville,WA,Washington,Ferry,48.9938,-118.5068,19,41
Toppenish,WA,Washington,Yakima,46.3807,-120.3125,14441,1627
River Road,WA,Washington,Clallam,48.0677,-123.1276,952,1055
Geneva,WA,Washington,Whatcom,48.7461,-122.4064,2632,958
Yakima,WA,Washington,Yakima,46.5923,-120.5496,133233,1302
Moxee,WA,Washington,Yakima,46.5638,-120.3968,4032,670
Edmonds,WA,Washington,Snohomish,47.8114,-122.3533,42209,1829
Kalama,WA,Washington,Cowlitz,46.0171,-122.8393,3794,297
Laurier,WA,Washington,Ferry,48.9974,-118.2248,0,0
Vashon,WA,Washington,King,47.4122,-122.4726,9635,100
Country Homes,WA,Washington,Spokane,47.7478,-117.4197,5730,1339
Darrington,WA,Washington,Snohomish,48.2546,-121.6029,1406,306
Metaline Falls,WA,Washington,Pend Oreille,48.8616,-117.3706,245,446
Lyle,WA,Washington,Klickitat,45.6956,-121.2805,548,299
Cascade Valley,WA,Washington,Grant,47.1371,-119.3272,1797,232
Spangle,WA,Washington,Spokane,47.4299,-117.3812,307,339
Methow,WA,Washington,Okanogan,48.1289,-120.0056,78,44
Waterville,WA,Washington,Douglas,47.648,-120.0707,1198,533
Lake Roesiger,WA,Washington,Snohomish,47.9839,-121.9129,657,64
Milton,WA,Washington,Pierce,47.2522,-122.3154,8230,1185
Krupp,WA,Washington,Grant,47.4105,-118.9886,50,32
Alderton,WA,Washington,Pierce,47.1718,-122.2192,3303,240
DuPont,WA,Washington,Pierce,47.1079,-122.6496,9487,629
Edgewood,WA,Washington,Pierce,47.2309,-122.2832,11213,515
North Puyallup,WA,Washington,Pierce,47.2015,-122.2742,1848,684
Pacific Beach,WA,Washington,Grays Harbor,47.215,-124.1967,538,171
Manson,WA,Washington,Chelan,47.8858,-120.1563,1532,472
Brewster,WA,Washington,Okanogan,48.1034,-119.7751,2343,785
Battle Ground,WA,Washington,Clark,45.7764,-122.5413,20576,938
Shoreline,WA,Washington,King,47.7564,-122.3426,56189,1864
Cosmopolis,WA,Washington,Grays Harbor,46.9541,-123.7725,1624,452
Airway Heights,WA,Washington,Spokane,47.6459,-117.5792,8166,524
Grandview,WA,Washington,Yakima,46.2431,-119.9084,18858,670
Inchelium,WA,Washington,Ferry,48.3378,-118.2372,413,6
Grand Coulee,WA,Washington,Grant,47.9391,-119.0031,1042,330
Union,WA,Washington,Mason,47.3475,-123.0952,272,64
Torboy,WA,Washington,Ferry,48.6772,-118.6689,48,19
Kelso,WA,Washington,Cowlitz,46.1248,-122.8909,12130,580
Westport,WA,Washington,Grays Harbor,46.8919,-124.112,2051,214
Junction City,WA,Washington,Grays Harbor,46.9713,-123.7651,10,2
Lake Ketchum,WA,Washington,Snohomish,48.282,-122.348,894,166
West Pasco,WA,Washington,Franklin,46.2497,-119.1684,1233,280
Des Moines,WA,Washington,King,47.3914,-122.3154,31238,1875
Davenport,WA,Washington,Lincoln,47.6551,-118.1519,1708,395
Seattle,WA,Washington,King,47.6211,-122.3244,3643765,3336
Lake Stickney,WA,Washington,Snohomish,47.8709,-122.2596,9667,2441
Carnation,WA,Washington,King,47.6446,-121.9048,2164,725
Everett,WA,Washington,Snohomish,47.9524,-122.167,110079,1278
Warden,WA,Washington,Grant,46.9674,-119.0522,2716,366
Palouse,WA,Washington,Whitman,46.9103,-117.0751,1055,388
Terrace Heights,WA,Washington,Yakima,46.6024,-120.4482,7849,377
Clarkston,WA,Washington,Asotin,46.4152,-117.0502,7396,1430
Elmer City,WA,Washington,Okanogan,48,-118.9534,247,401
Mossyrock,WA,Washington,Lewis,46.5305,-122.4887,789,444
Summit View,WA,Washington,Pierce,47.1343,-122.3468,7421,885
Suquamish,WA,Washington,Kitsap,47.7238,-122.583,4108,232
Newcastle,WA,Washington,King,47.5303,-122.1633,11681,1014
Stanwood,WA,Washington,Snohomish,48.2451,-122.3426,7161,937
Kapowsin,WA,Washington,Pierce,46.9727,-122.2272,391,36
Donald,WA,Washington,Yakima,46.4737,-120.3923,0,0
Altoona,WA,Washington,Wahkiakum,46.2699,-123.6145,61,4
South Prairie,WA,Washington,Pierce,47.1373,-122.094,443,441
Eschbach,WA,Washington,Yakima,46.667,-120.6337,377,123
Indianola,WA,Washington,Kitsap,47.7566,-122.5142,3520,258
Reardan,WA,Washington,Lincoln,47.6698,-117.8778,582,451
Cowiche,WA,Washington,Yakima,46.6729,-120.7154,960,708
Sunday Lake,WA,Washington,Snohomish,48.2306,-122.2684,666,148
Rocky Point,WA,Washington,Kitsap,47.5882,-122.6668,1449,790
Burbank,WA,Washington,Walla Walla,46.1991,-118.9728,3398,99
Lakeland North,WA,Washington,King,47.3374,-122.2814,12487,1452
Granite Falls,WA,Washington,Snohomish,48.0874,-121.9704,6565,632
Camas,WA,Washington,Clark,45.6003,-122.4306,23331,646
Skokomish,WA,Washington,Mason,47.3298,-123.1579,755,43
Cusick,WA,Washington,Pend Oreille,48.3328,-117.2961,217,161
Rosalia,WA,Washington,Whitman,47.2363,-117.3769,567,348
Longbranch,WA,Washington,Pierce,47.2257,-122.7739,3236,62
Granger,WA,Washington,Yakima,46.3455,-120.1926,3542,841
North Fort Lewis,WA,Washington,Pierce,47.1221,-122.5966,5009,328
Tampico,WA,Washington,Yakima,46.5325,-120.8727,465,46
Tukwila,WA,Washington,King,47.4748,-122.2727,20144,847
Cathlamet,WA,Washington,Wahkiakum,46.2056,-123.3835,553,428
Wenatchee,WA,Washington,Chelan,47.4338,-120.3286,71512,1314
Port Ludlow,WA,Washington,Jefferson,47.9101,-122.7006,2642,88
Castle Rock,WA,Washington,Cowlitz,46.2717,-122.9057,2833,433
Glacier,WA,Washington,Whatcom,48.8903,-121.9323,102,13
Index,WA,Washington,Snohomish,47.8212,-121.5556,205,384
Republic,WA,Washington,Ferry,48.6477,-118.7326,1062,274
Bellevue,WA,Washington,King,47.5953,-122.155,144444,1666
Malo,WA,Washington,Ferry,48.7997,-118.6119,72,236
Anderson Island,WA,Washington,Pierce,47.1577,-122.7037,1292,64
University Place,WA,Washington,Pierce,47.2148,-122.546,33401,1547
Montesano,WA,Washington,Grays Harbor,47.0102,-123.5858,8494,147
Rainier,WA,Washington,Thurston,46.8917,-122.6867,2126,473
Fords Prairie,WA,Washington,Lewis,46.7461,-123.0029,1812,188
Roy,WA,Washington,Pierce,46.9971,-122.5423,820,652
Oso,WA,Washington,Snohomish,48.2836,-121.9237,212,29
Marblemount,WA,Washington,Skagit,48.5378,-121.4346,0,0
Elk Plain,WA,Washington,Pierce,47.0448,-122.3671,14280,716
Burlington,WA,Washington,Skagit,48.4677,-122.3298,8783,792
Bangor Base,WA,Washington,Kitsap,47.7227,-122.7146,6358,221
Beaux Arts Village,WA,Washington,King,47.5854,-122.2009,326,1524
Port Gamble Tribal Community,WA,Washington,Kitsap,47.8487,-122.5571,920,83
Olympia,WA,Washington,Thurston,47.0417,-122.8959,196078,1092
East Wenatchee,WA,Washington,Douglas,47.4172,-120.2809,13983,1425
Addy,WA,Washington,Stevens,48.3588,-117.8372,96,105
Minnehaha,WA,Washington,Clark,45.6577,-122.6204,11767,2056
Bryn Mawr-Skyway,WA,Washington,King,47.4949,-122.2411,18365,2500
Satsop,WA,Washington,Grays Harbor,47.0223,-123.4737,572,31
Riverbend,WA,Washington,King,47.4651,-121.7491,2241,294
Easton,WA,Washington,Kittitas,47.2405,-121.1733,395,47
Silverdale,WA,Washington,Kitsap,47.6663,-122.6828,20664,631
Napavine,WA,Washington,Lewis,46.5844,-122.9007,1893,252
Lochsloy,WA,Washington,Snohomish,48.0597,-122.0411,3188,164
Ellensburg,WA,Washington,Kittitas,46.9994,-120.547,23471,1022
McKenna,WA,Washington,Pierce,46.9365,-122.55,978,347
Fairfield,WA,Washington,Spokane,47.3848,-117.1748,616,387
Northwest Stanwood,WA,Washington,Snohomish,48.2623,-122.3501,144,77
Mansfield,WA,Washington,Douglas,47.8119,-119.638,339,401
Duvall,WA,Washington,King,47.7354,-121.9725,7813,1230
Markham,WA,Washington,Grays Harbor,46.9155,-123.9814,238,82
Waller,WA,Washington,Pierce,47.2035,-122.3699,8064,391
Longview,WA,Washington,Cowlitz,46.146,-122.963,65619,976
Richland,WA,Washington,Benton,46.2826,-119.2937,56243,556
Rosedale,WA,Washington,Pierce,47.3453,-122.6368,4459,379
Vancouver,WA,Washington,Clark,45.6367,-122.597,175673,1386
Bethel,WA,Washington,Kitsap,47.4874,-122.6175,3673,448
Custer,WA,Washington,Whatcom,48.9143,-122.6397,149,31
Lofall,WA,Washington,Kitsap,47.8113,-122.6564,2211,427
Fairwood,WA,Washington,King,47.4467,-122.143,19531,1592
Winlock,WA,Washington,Lewis,46.4907,-122.9342,1354,405
Sumner,WA,Washington,Pierce,47.219,-122.2338,10093,517
Cottage Lake,WA,Washington,King,47.7466,-122.0755,23941,406
Puget Island,WA,Washington,Wahkiakum,46.1742,-123.3829,899,45
Woods Creek,WA,Washington,Snohomish,47.8821,-121.8982,5826,160
Washougal,WA,Washington,Clark,45.5812,-122.3433,15711,1108
Sisco Heights,WA,Washington,Snohomish,48.1188,-122.1076,2810,86
Canterwood,WA,Washington,Pierce,47.3766,-122.6022,3220,576
Wapato,WA,Washington,Yakima,46.4434,-120.4215,7686,1646
Lower Elochoman,WA,Washington,Wahkiakum,46.2185,-123.3698,160,40
Lake Goodwin,WA,Washington,Snohomish,48.1387,-122.2804,3879,374
Banks Lake South,WA,Washington,Grant,47.6315,-119.276,270,42
Kent,WA,Washington,King,47.3887,-122.2128,128458,1470
Bickleton,WA,Washington,Klickitat,46.0056,-120.3081,67,5
Ryderwood,WA,Washington,Cowlitz,46.375,-123.0441,332,797
Cavalero,WA,Washington,Snohomish,47.9845,-122.0746,5284,1243
La Conner,WA,Washington,Skagit,48.3925,-122.4945,3475,905
Martha Lake,WA,Washington,Snohomish,47.848,-122.2326,18566,1560
George,WA,Washington,Grant,47.0845,-119.8598,507,151
Snohomish,WA,Washington,Snohomish,47.9277,-122.097,10089,1119
Eatonville,WA,Washington,Pierce,46.8682,-122.2698,3038,633
Carson,WA,Washington,Skamania,45.7353,-121.8219,2688,216
Almira,WA,Washington,Lincoln,47.7105,-118.9369,276,205
Nooksack,WA,Washington,Whatcom,48.9276,-122.3211,1560,852
Mount Vista,WA,Washington,Clark,45.7373,-122.6315,8525,628
High Bridge,WA,Washington,Snohomish,47.7968,-122.0281,3028,167
Lakeland South,WA,Washington,King,47.2784,-122.2831,13982,1087
Kenmore,WA,Washington,King,47.7532,-122.2459,22867,1438
Neah Bay,WA,Washington,Clallam,48.3612,-124.6115,994,163
Cliffdell,WA,Washington,Yakima,46.9213,-121.042,80,17
Port Angeles East,WA,Washington,Clallam,48.1041,-123.3695,3627,371
Burien,WA,Washington,King,47.4762,-122.3393,51671,1983
Taholah,WA,Washington,Grays Harbor,47.3283,-124.2728,714,79
Wauna,WA,Washington,Pierce,47.386,-122.6694,4412,268
Connell,WA,Washington,Franklin,46.6624,-118.8405,5360,275
Disautel,WA,Washington,Okanogan,48.345,-119.2299,22,2
Santiago,WA,Washington,Grays Harbor,47.2975,-124.2327,26,6
Orting,WA,Washington,Pierce,47.0966,-122.2111,7983,1138
Colville,WA,Washington,Stevens,48.5454,-117.8986,5064,596
Marysville,WA,Washington,Snohomish,48.081,-122.1558,166541,1289
Walla Walla,WA,Washington,Walla Walla,46.0669,-118.3365,57779,938
Zillah,WA,Washington,Yakima,46.4083,-120.2717,3125,699
Curlew,WA,Washington,Ferry,48.8777,-118.6045,149,75
Key Center,WA,Washington,Pierce,47.3376,-122.7505,3810,100
Hoodsport,WA,Washington,Mason,47.402,-123.1542,331,121
Spanaway,WA,Washington,Pierce,47.0979,-122.4233,30528,1344
Mattawa,WA,Washington,Grant,46.7364,-119.9019,5122,2388
Clallam Bay,WA,Washington,Clallam,48.2536,-124.2579,366,249
Prairie Ridge,WA,Washington,Pierce,47.1443,-122.1408,12733,1202
Rockport,WA,Washington,Skagit,48.4854,-121.6065,76,80
Stansberry Lake,WA,Washington,Pierce,47.3814,-122.7154,2747,510
Copalis Beach,WA,Washington,Grays Harbor,47.1205,-124.1722,559,58
Frederickson,WA,Washington,Pierce,47.0914,-122.3594,21737,725
Asotin,WA,Washington,Asotin,46.3371,-117.0433,1295,483
Mill Creek,WA,Washington,Snohomish,47.8633,-122.2034,20832,1747
Bell Hill,WA,Washington,Clallam,48.055,-123.087,875,127
Green Bluff,WA,Washington,Spokane,47.819,-117.277,544,27
Clayton,WA,Washington,Stevens,48.0013,-117.5612,361,108
Puyallup,WA,Washington,Pierce,47.1794,-122.2902,41001,1119
Hockinson,WA,Washington,Clark,45.7301,-122.4833,5267,147
Lake McMurray,WA,Washington,Skagit,48.3129,-122.2317,134,63
Bucoda,WA,Washington,Thurston,46.7968,-122.868,583,401
Issaquah,WA,Washington,King,47.542,-122.0444,37487,1192
Odessa,WA,Washington,Lincoln,47.3326,-118.6895,876,417
Hazel Dell,WA,Washington,Clark,45.6797,-122.6553,21449,1718
McMillin,WA,Washington,Pierce,47.1286,-122.2374,1673,390
Wilbur,WA,Washington,Lincoln,47.7583,-118.711,839,249
Skamokawa Valley,WA,Washington,Wahkiakum,46.3004,-123.4243,300,4
Centerville,WA,Washington,Klickitat,45.754,-120.9081,109,12
Nile,WA,Washington,Yakima,46.8368,-120.9455,98,49
Spokane Valley,WA,Washington,Spokane,47.6625,-117.2346,97847,1001
Woodland,WA,Washington,Cowlitz,45.9149,-122.7503,6531,575
Lewisville,WA,Washington,Clark,45.8127,-122.5144,1503,107
Vantage,WA,Washington,Kittitas,46.9453,-119.9923,18,21
Gorst,WA,Washington,Kitsap,47.5237,-122.7057,257,160
Lake Morton-Berrydale,WA,Washington,King,47.3325,-122.103,11201,351
Ione,WA,Washington,Pend Oreille,48.7402,-117.4223,459,330
Bothell West,WA,Washington,Snohomish,47.8056,-122.24,20472,1918
Vaughn,WA,Washington,Pierce,47.355,-122.7773,342,57
Black Diamond,WA,Washington,King,47.313,-122.0181,4436,262
Ferndale,WA,Washington,Whatcom,48.8525,-122.5893,14026,775
Acme,WA,Washington,Whatcom,48.7146,-122.2293,183,11
White Center,WA,Washington,King,47.5086,-122.348,15300,2614
Fairchild AFB,WA,Washington,Spokane,47.6187,-117.6485,2960,172
Pacific,WA,Washington,King,47.2611,-122.2507,7184,1149
Glenwood,WA,Washington,Klickitat,46.0228,-121.2926,157,64
Colfax,WA,Washington,Whitman,46.9032,-117.3394,2811,299
Silvana,WA,Washington,Snohomish,48.2018,-122.2459,0,0
Forks,WA,Washington,Clallam,47.9526,-124.3904,4274,359
Kirkland,WA,Washington,King,47.6997,-122.2041,88630,1921
Okanogan,WA,Washington,Okanogan,48.3671,-119.5784,2571,493
Kayak Point,WA,Washington,Snohomish,48.1387,-122.3342,1693,119
Union Hill-Novelty Hill,WA,Washington,King,47.6788,-122.0284,22109,352
Outlook,WA,Washington,Yakima,46.3311,-120.0923,300,893
Lake Tapps,WA,Washington,Pierce,47.2305,-122.1696,13091,409
Cohassett Beach,WA,Washington,Grays Harbor,46.8656,-124.1054,712,211
Tonasket,WA,Washington,Okanogan,48.7077,-119.4412,1126,459
Sunnyside,WA,Washington,Yakima,46.3159,-120.0058,17927,843
Lakeview,WA,Washington,Grant,47.3755,-119.5043,881,301
Carbonado,WA,Washington,Pierce,47.0805,-122.0536,701,649
Pullman,WA,Washington,Whitman,46.734,-117.1669,33276,1206
Blyn,WA,Washington,Clallam,48.013,-122.9897,22,1
Brinnon,WA,Washington,Jefferson,47.6689,-122.9249,703,28
Friday Harbor,WA,Washington,San Juan,48.5324,-123.0655,2407,430
Orchards,WA,Washington,Clark,45.6888,-122.5305,21299,1521
Purdy,WA,Washington,Pierce,47.3938,-122.6114,1087,178
Tekoa,WA,Washington,Whitman,47.2247,-117.0732,809,254
Tanner,WA,Washington,King,47.4813,-121.6921,905,91
Thorp,WA,Washington,Kittitas,47.0656,-120.6709,297,93
Artondale,WA,Washington,Pierce,47.3024,-122.639,12937,372
Liberty Lake,WA,Washington,Spokane,47.6687,-117.1032,9893,621
Cheney,WA,Washington,Spokane,47.4901,-117.5789,12421,1106
Sammamish,WA,Washington,King,47.6019,-122.0419,64548,1219
Cle Elum,WA,Washington,Kittitas,47.1946,-120.9553,3768,179
Fern Prairie,WA,Washington,Clark,45.637,-122.3963,2611,200
Waverly,WA,Washington,Spokane,47.338,-117.2312,108,101
Lakewood,WA,Washington,Pierce,47.1628,-122.5299,60296,1362
Lake Marcel-Stillwater,WA,Washington,King,47.6926,-121.9152,1220,368
Central Park,WA,Washington,Grays Harbor,46.9705,-123.7018,2741,300
Bridgeport,WA,Washington,Douglas,48.0063,-119.6737,2555,961
Raft Island,WA,Washington,Pierce,47.3293,-122.6686,341,475
Larch Way,WA,Washington,Snohomish,47.8429,-122.2527,4117,1428
Lake Bosworth,WA,Washington,Snohomish,48.0532,-121.9812,654,74
Barberton,WA,Washington,Clark,45.7136,-122.6114,6719,600
Sekiu,WA,Washington,Clallam,48.2637,-124.3012,50,150
Brier,WA,Washington,Snohomish,47.7922,-122.2734,6884,1206
Spokane,WA,Washington,Spokane,47.6671,-117.433,403043,1218
Fall City,WA,Washington,King,47.5717,-121.9134,1903,258
Pasco,WA,Washington,Franklin,46.2506,-119.1303,73013,832
Lyman,WA,Washington,Skagit,48.523,-122.0634,468,269
Oakville,WA,Washington,Grays Harbor,46.8403,-123.2333,684,498
Dash Point,WA,Washington,Pierce,47.3131,-122.4153,1007,613
Herron Island,WA,Washington,Pierce,47.2645,-122.8348,69,55
West Clarkston-Highland,WA,Washington,Asotin,46.4023,-117.063,5895,816
Royal City,WA,Washington,Grant,46.9,-119.6142,2205,639
Venersborg,WA,Washington,Clark,45.786,-122.4721,4196,149
Hoquiam,WA,Washington,Grays Harbor,46.9863,-123.9023,8500,344
Willapa,WA,Washington,Pacific,46.6755,-123.6648,204,283
Quilcene,WA,Washington,Jefferson,47.8369,-122.9058,432,18
Freeland,WA,Washington,Island,48.0185,-122.5358,1698,168
McCleary,WA,Washington,Grays Harbor,47.0584,-123.2723,1691,318
Roosevelt,WA,Washington,Klickitat,45.7476,-120.2161,107,10
Long Beach,WA,Washington,Pacific,46.3559,-124.0556,1413,395
Trout Lake,WA,Washington,Klickitat,45.9976,-121.5291,654,36
Coulee Dam,WA,Washington,Okanogan,47.9688,-118.9761,1079,576
Swede Heaven,WA,Washington,Snohomish,48.2829,-121.7136,1030,55
Pine Grove,WA,Washington,Ferry,48.6502,-118.6834,111,87
Langley,WA,Washington,Island,48.0337,-122.4084,1124,430
Sedro-Woolley,WA,Washington,Skagit,48.5113,-122.2321,11838,1057
Hatton,WA,Washington,Adams,46.7735,-118.8277,101,104
Entiat,WA,Washington,Chelan,47.678,-120.2175,1223,216
Bainbridge Island,WA,Washington,Kitsap,47.6439,-122.5434,24522,342
Auburn,WA,Washington,King,47.3041,-122.211,80776,1057
Ocean City,WA,Washington,Grays Harbor,47.0763,-124.162,168,19
White Swan,WA,Washington,Yakima,46.3769,-120.7382,973,140
Felida,WA,Washington,Clark,45.7138,-122.7103,8065,1077
Lacey,WA,Washington,Thurston,47.0458,-122.7934,49748,1132
Gold Bar,WA,Washington,Snohomish,47.8566,-121.6927,2301,824
Clyde Hill,WA,Washington,King,47.6303,-122.218,3318,1213
Upper Elochoman,WA,Washington,Wahkiakum,46.2403,-123.3247,70,18
Marcus,WA,Washington,Stevens,48.6642,-118.0601,183,316
Canyon Creek,WA,Washington,Snohomish,48.1157,-121.9831,3319,209
Malone,WA,Washington,Grays Harbor,46.9779,-123.3035,543,23
Bothell East,WA,Washington,Snohomish,47.8064,-122.1844,10424,1931
Yarrow Point,WA,Washington,King,47.6452,-122.2179,1126,1190
Steptoe,WA,Washington,Whitman,47.0075,-117.3502,183,31
West Richland,WA,Washington,Benton,46.3115,-119.3997,14596,254
Orient,WA,Washington,Ferry,48.8637,-118.2059,132,117
Federal Way,WA,Washington,King,47.309,-122.3359,96690,1679
Pe Ell,WA,Washington,Lewis,46.5712,-123.2982,653,426
Deep River,WA,Washington,Wahkiakum,46.3521,-123.6984,151,4
Bothell,WA,Washington,King,47.7736,-122.2044,45533,1287
South Wenatchee,WA,Washington,Chelan,47.3886,-120.2829,2057,683
Snoqualmie Pass,WA,Washington,Kittitas,47.4014,-121.4109,235,31
Hartline,WA,Washington,Grant,47.6895,-119.1081,154,178
Lake Forest Park,WA,Washington,King,47.7597,-122.2878,13392,1469
Crocker,WA,Washington,Pierce,47.0843,-122.1225,1332,71
Elbe,WA,Washington,Pierce,46.7653,-122.1946,53,356
Ravensdale,WA,Washington,King,47.3563,-121.9692,1579,136
Arlington,WA,Washington,Snohomish,48.1697,-122.1446,19212,756
McChord AFB,WA,Washington,Pierce,47.1328,-122.4924,3337,216
Lebam,WA,Washington,Pacific,46.5641,-123.5509,101,26
Lynden,WA,Washington,Whatcom,48.9503,-122.4544,17340,1019
Coupeville,WA,Washington,Island,48.2172,-122.6775,1928,586
Prescott,WA,Washington,Walla Walla,46.2988,-118.3126,304,292
South Bend,WA,Washington,Pacific,46.668,-123.8008,1651,394
Mabton,WA,Washington,Yakima,46.2115,-119.9938,2532,1064
North Bend,WA,Washington,King,47.4898,-121.7738,6821,598
Grapeview,WA,Washington,Mason,47.3316,-122.8413,982,103
Garfield,WA,Washington,Whitman,47.0103,-117.1395,614,252
Rochester,WA,Washington,Thurston,46.8288,-123.0722,2923,484
Dayton,WA,Washington,Columbia,46.3168,-117.9769,2637,658
Algona,WA,Washington,King,47.2822,-122.2504,3185,933
Mineral,WA,Washington,Lewis,46.7193,-122.1859,193,111
Barstow,WA,Washington,Ferry,48.7783,-118.1329,119,82
Moclips,WA,Washington,Grays Harbor,47.2348,-124.2025,0,0
Bellingham,WA,Washington,Whatcom,48.7543,-122.4687,126015,1241
Vader,WA,Washington,Lewis,46.4045,-122.9569,643,266
North Lynnwood,WA,Washington,Snohomish,47.8533,-122.2762,20626,2549
Tracyton,WA,Washington,Kitsap,47.6095,-122.6533,5937,1195
White Salmon,WA,Washington,Klickitat,45.7282,-121.4853,2552,657
Peaceful Valley,WA,Washington,Whatcom,48.9477,-122.1406,4196,95
East Renton Highlands,WA,Washington,King,47.4718,-122.0854,11401,393
Metaline,WA,Washington,Pend Oreille,48.854,-117.3899,178,227
Deming,WA,Washington,Whatcom,48.8381,-122.2313,240,17
Medical Lake,WA,Washington,Spokane,47.5712,-117.6893,4818,567
Aberdeen,WA,Washington,Grays Harbor,46.9757,-123.8095,29089,585
Chehalis,WA,Washington,Lewis,46.6637,-122.9647,7533,500
Onalaska,WA,Washington,Lewis,46.5783,-122.7112,709,171
Toledo,WA,Washington,Lewis,46.4414,-122.8496,751,738
Everson,WA,Washington,Whatcom,48.9123,-122.351,4709,797
Belfair,WA,Washington,Mason,47.4495,-122.8487,4063,212
Lynnwood,WA,Washington,Snohomish,47.8285,-122.3035,38273,1890
Colton,WA,Washington,Whitman,46.5675,-117.1285,467,292
Malden,WA,Washington,Whitman,47.2296,-117.4731,209,122
Ames Lake,WA,Washington,King,47.6346,-121.9664,1526,368
Wilson Creek,WA,Washington,Grant,47.423,-119.1176,212,85
North Yelm,WA,Washington,Thurston,46.9647,-122.6029,2887,334
Mirrormont,WA,Washington,King,47.4616,-121.9936,3682,136
Whidbey Island Station,WA,Washington,Island,48.3387,-122.6616,1938,113
Town and Country,WA,Washington,Spokane,47.7259,-117.4221,5001,1607
Tokeland,WA,Washington,Pacific,46.709,-123.9839,330,248
